hpf,pH,id_number,N,g,Lane,ID,Design
24,7.6,1,256,B,B1,24-7.6-B1,Experimental
24,7.6,2,264,B,B2,24-7.6-B2,Experimental
24,7.6,3,270,B,B3,24-7.6-B3,Experimental
24,7.6,4,337,B,B4,24-7.6-B4,Experimental
24,7.6,5,344,B,B5,24-7.6-B5,Experimental
24,7.6,6,266,B,B6,24-7.6-B6,Experimental
24,7.8,1,640,B,B1,24-7.8-B1,Experimental
24,7.8,2,407,B,B2,24-7.8-B2,Experimental
24,7.8,3,831,B,B3,24-7.8-B3,Experimental
24,7.8,4,701,B,B4,24-7.8-B4,Experimental
24,7.8,5,730,B,B5,24-7.8-B5,Experimental
24,7.8,6,547,B,B6,24-7.8-B6,Experimental
24,8,1,424,B,B1,24-8-B1,Experimental
24,8,2,214,B,B2,24-8-B2,Experimental
24,8,3,390,B,B3,24-8-B3,Experimental
24,8,4,397,B,B4,24-8-B4,Experimental
24,8,5,430,B,B5,24-8-B5,Experimental
24,8,6,391,B,B6,24-8-B6,Experimental
24,8,1,245,C,C1,24-8-C1,Experimental
24,8,2,298,C,C2,24-8-C2,Experimental
48,7.6,1,500,B,B1,48-7.6-B1,Experimental
48,7.6,2,382,B,B2,48-7.6-B2,Experimental
48,7.6,3,646,B,B3,48-7.6-B3,Experimental
48,7.6,4,719,B,B4,48-7.6-B4,Experimental
48,7.6,5,436,B,B5,48-7.6-B5,Experimental
48,7.6,6,1245,B,B6,48-7.6-B6,Experimental
48,7.8,1,1160,B,B1,48-7.8-B1,Experimental
48,7.8,2,816,B,B2,48-7.8-B2,Experimental
48,7.8,3,971,B,B3,48-7.8-B3,Experimental
48,7.8,4,1069,B,B4,48-7.8-B4,Experimental
48,7.8,5,999,B,B5,48-7.8-B5,Experimental
48,7.8,6,2025,B,B6,48-7.8-B6,Experimental
48,8,1,1017,B,B1,48-8-B1,Experimental
48,8,2,3090,B,B2,48-8-B2,Experimental
48,8,3,781,B,B3,48-8-B3,Experimental
48,8,4,563,B,B4,48-8-B4,Experimental
48,8,5,513,B,B5,48-8-B5,Experimental
48,8,6,392,B,B6,48-8-B6,Experimental
60,7.6,1,217,B,B1,60-7.6-B1,Experimental
60,7.6,2,239,B,B2,60-7.6-B2,Experimental
60,7.6,3,180,B,B3,60-7.6-B3,Experimental
60,7.6,4,222,B,B4,60-7.6-B4,Experimental
60,7.6,5,279,B,B5,60-7.6-B5,Experimental
60,7.6,6,106,B,B6,60-7.6-B6,Experimental
60,7.6,1,149,C,C1,60-7.6-C1,Experimental
60,7.6,2,228,C,C2,60-7.6-C2,Experimental
60,7.6,3,246,C,C3,60-7.6-C3,Experimental
60,7.6,4,286,C,C4,60-7.6-C4,Experimental
60,7.6,5,230,C,C5,60-7.6-C5,Experimental
60,7.6,6,231,C,C6,60-7.6-C6,Experimental
60,7.8,1,297,B,B1,60-7.8-B1,Experimental
60,7.8,2,214,B,B2,60-7.8-B2,Experimental
60,7.8,3,359,B,B3,60-7.8-B3,Experimental
60,7.8,4,450,B,B4,60-7.8-B4,Experimental
60,7.8,1,179,C,C1,60-7.8-C1,Experimental
60,7.8,2,430,C,C2,60-7.8-C2,Experimental
60,7.8,3,486,C,C3,60-7.8-C3,Experimental
60,7.8,4,555,C,C4,60-7.8-C4,Experimental
60,7.8,1,175,D,D1,60-7.8-D1,Experimental
60,7.8,2,292,D,D2,60-7.8-D2,Experimental
60,7.8,3,316,D,D3,60-7.8-D3,Experimental
60,7.8,4,503,D,D4,60-7.8-D4,Experimental
60,8,1,289,B,B1,60-8-B1,Experimental
60,8,2,385,B,B2,60-8-B2,Experimental
60,8,3,96,B,B3,60-8-B3,Experimental
60,8,4,479,B,B4,60-8-B4,Experimental
60,8,1,130,C,C1,60-8-C1,Experimental
60,8,2,421,C,C2,60-8-C2,Experimental
60,8,3,68,C,C3,60-8-C3,Experimental
60,8,4,367,C,C4,60-8-C4,Experimental
60,8,1,571,D,D1,60-8-D1,Experimental
60,8,2,550,D,D2,60-8-D2,Experimental
60,8,3,390,D,D3,60-8-D3,Experimental
60,8,4,304,D,D4,60-8-D4,Experimental
108,7.6,1,275,B,B1,108-7.6-B1,Experimental
108,7.6,2,458,B,B2,108-7.6-B2,Experimental
108,7.6,3,354,B,B3,108-7.6-B3,Experimental
108,7.6,4,296,B,B4,108-7.6-B4,Experimental
108,7.6,5,330,B,B5,108-7.6-B5,Experimental
108,7.6,6,357,B,B6,108-7.6-B6,Experimental
108,7.8,1,938,B,B1,108-7.8-B1,Experimental
108,7.8,2,899,B,B2,108-7.8-B2,Experimental
108,7.8,3,599,B,B3,108-7.8-B3,Experimental
108,7.8,4,551,B,B4,108-7.8-B4,Experimental
108,7.8,5,713,B,B5,108-7.8-B5,Experimental
108,7.8,6,511,B,B6,108-7.8-B6,Experimental
108,8,1,521,B,B1,108-8-B1,Experimental
108,8,2,561,B,B2,108-8-B2,Experimental
108,8,3,875,B,B3,108-8-B3,Experimental
108,8,4,526,B,B4,108-8-B4,Experimental
108,8,5,518,B,B5,108-8-B5,Experimental
108,8,6,456,B,B6,108-8-B6,Experimental
