hpf,pH,Lane_num,g,Lane,ID,Aspecto 1,Aspecto 2,N,Blank,blank_g,blank_Lane
24,7.6,1,B,B1,24-7.6-B1,NA,NA,256,0,A,A1
24,7.6,2,B,B2,24-7.6-B2,NA,NA,264,0,A,A2
24,7.6,3,B,B3,24-7.6-B3,61,209,270,0,A,A3
24,7.6,4,B,B4,24-7.6-B4,88,249,337,0,A,A4
24,7.6,5,B,B5,24-7.6-B5,99,245,344,0,A,A5
24,7.6,6,B,B6,24-7.6-B6,77,189,266,0,A,A6
24,7.8,1,B,B1,24-7.8-B1,68,572,640,0,A,A1
24,7.8,2,B,B2,24-7.8-B2,72,335,407,0,A,A2
24,7.8,3,B,B3,24-7.8-B3,115,716,831,0,A,A3
24,7.8,4,B,B4,24-7.8-B4,113,588,701,0,A,A4
24,7.8,5,B,B5,24-7.8-B5,128,602,730,0,A,A5
24,7.8,6,B,B6,24-7.8-B6,103,444,547,0,A,A6
24,8.0,1,B,B1,24-8-B1,110,314,424,0,A,A1
24,8.0,2,B,B2,24-8-B2,60,154,214,0,A,A2
24,8.0,3,B,B3,24-8-B3,50,340,390,0,A,A3
24,8.0,4,B,B4,24-8-B4,64,333,397,0,A,A4
24,8.0,5,B,B5,24-8-B5,71,359,430,0,A,A5
24,8.0,6,B,B6,24-8-B6,49,342,391,0,A,A6
24,8.0,1,C,C1,24-8-C1,49,196,245,NA,NA,NA
24,8.0,2,C,C2,24-8-C2,47,251,298,NA,NA,NA
48,7.6,1,B,B1,48-7.6-B1,207,273,500,0,A,A1
48,7.6,2,B,B2,48-7.6-B2,159,223,382,0,A,A2
48,7.6,3,B,B3,48-7.6-B3,278,356,646,0,A,A3
48,7.6,4,B,B4,48-7.6-B4,296,405,719,4,A,A4
48,7.6,5,B,B5,48-7.6-B5,165,255,436,1,A,A5
48,7.6,6,B,B6,48-7.6-B6,376,844,1245,0,A,A6
48,7.8,1,B,B1,48-7.8-B1,570,530,1160,0,A,A1
48,7.8,2,B,B2,48-7.8-B2,424,321,816,10,A,A2
48,7.8,3,B,B3,48-7.8-B3,535,421,971,12,A,A3
48,7.8,4,B,B4,48-7.8-B4,395,641,1069,6,A,A4
48,7.8,5,B,B5,48-7.8-B5,495,486,999,NA,A,A5
48,7.8,6,B,B6,48-7.8-B6,616,1352,2025,0,A,A6
48,8.0,1,B,B1,48-8-B1,413,578,1017,0,A,A1
48,8.0,2,B,B2,48-8-B2,671,2286,3090,0,A,A2
48,8.0,3,B,B3,48-8-B3,406,350,781,2,A,A3
48,8.0,4,B,B4,48-8-B4,410,153,563,0,A,A4
48,8.0,5,B,B5,48-8-B5,279,210,513,0,A,A5
48,8.0,6,B,B6,48-8-B6,264,123,392,0,A,A6
60,7.6,1,B,B1,60-7.6-B1,54,155,217,5,A,A1
60,7.6,2,B,B2,60-7.6-B2,73,132,239,0,A,A2
60,7.6,3,B,B3,60-7.6-B3,53,109,180,0,A,A3
60,7.6,4,B,B4,60-7.6-B4,64,158,222,0,A,A4
60,7.6,5,B,B5,60-7.6-B5,71,206,279,0,A,A5
60,7.6,6,B,B6,60-7.6-B6,50,56,106,0,A,A6
60,7.6,7,C,C7,60-7.6-C7,36,110,149,NA,NA,NA
60,7.6,8,C,C8,60-7.6-C8,68,148,228,NA,NA,NA
60,7.6,9,C,C9,60-7.6-C9,77,163,246,NA,NA,NA
60,7.6,10,C,C10,60-7.6-C10,60,216,286,NA,NA,NA
60,7.6,11,C,C11,60-7.6-C11,43,176,230,NA,NA,NA
60,7.6,12,C,C12,60-7.6-C12,38,181,231,NA,NA,NA
60,7.8,1,B,B1,60-7.8-B1,90,205,297,0,A,A1
60,7.8,2,B,B2,60-7.8-B2,97,117,214,0,A,A2
60,7.8,3,B,B3,60-7.8-B3,111,244,359,0,A,A3
60,7.8,4,B,B4,60-7.8-B4,112,328,450,0,A,A4
60,7.8,1,C,C1,60-7.8-C1,93,76,179,0,A,A5
60,7.8,2,C,C2,60-7.8-C2,105,321,430,0,A,A6
60,7.8,3,C,C3,60-7.8-C3,82,388,486,NA,NA,NA
60,7.8,4,C,C4,60-7.8-C4,125,421,555,NA,NA,NA
60,7.8,1,D,D1,60-7.8-D1,104,65,175,NA,NA,NA
60,7.8,2,D,D2,60-7.8-D2,74,206,292,NA,NA,NA
60,7.8,3,D,D3,60-7.8-D3,97,218,316,NA,NA,NA
60,7.8,4,D,D4,60-7.8-D4,115,385,503,NA,NA,NA
60,8.0,1,B,B1,60-8-B1,70,208,289,29,A,A1
60,8.0,2,B,B2,60-8-B2,80,298,385,0,A,A2
60,8.0,3,B,B3,60-8-B3,50,43,96,0,A,A3
60,8.0,4,B,B4,60-8-B4,97,371,479,0,A,A4
60,8.0,1,C,C1,60-8-C1,37,90,130,0,A,A5
60,8.0,2,C,C2,60-8-C2,68,346,421,0,A,A6
60,8.0,3,C,C3,60-8-C3,33,35,68,NA,NA,NA
60,8.0,4,C,C4,60-8-C4,69,298,367,NA,NA,NA
60,8.0,1,D,D1,60-8-D1,88,475,571,NA,NA,NA
60,8.0,2,D,D2,60-8-D2,97,449,550,NA,NA,NA
60,8.0,3,D,D3,60-8-D3,53,327,390,NA,NA,NA
60,8.0,4,D,D4,60-8-D4,47,243,304,NA,NA,NA
