GROUP	f1	f2	biotype_best_rank	GO.ID	term	Term	parentTerm	size	Significant	Annotated	n_miRNAs	classicFisher	classicKS	p.adj.fdr	Top
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0016192	vesicle-mediated transport	vesicle-mediated transport	vesicle-mediated transport	139.0	8	8	17	0.04004202560558284	0.04004202560558284	0.8815524193548387	1
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0001501	skeletal system development	skeletal system development	nervous system development	0.0	4	4	8	0.21365459192667025	0.21365459192667025	0.8815524193548387	2
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0006468	protein phosphorylation	protein phosphorylation	regulation of transcription by RNA polymerase II	541.0	4	4	10	0.21365459192667025	0.21365459192667025	0.8815524193548387	3
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0032956	regulation of actin cytoskeleton organization	regulation of actin cytoskeleton organization	cell projection organization	18.0	4	4	4	0.21365459192667025	0.21365459192667025	0.8815524193548387	4
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0051276	chromosome organization	chromosome organization	microtubule cytoskeleton organization	11.0	4	4	25	0.21365459192667025	0.21365459192667025	0.8815524193548387	5
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0010468	regulation of gene expression	regulation of gene expression	regulation of gene expression	103.0	14	18	30	0.25349012880262506	0.25349012880262506	0.8815524193548387	6
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0030154	cell differentiation	cell differentiation	cell differentiation	305.0	13	17	15	0.3155673598295587	0.3155673598295587	0.8815524193548387	7
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0007005	mitochondrion organization	mitochondrion organization	microtubule cytoskeleton organization	38.0	3	3	3	0.31787634408602156	0.31787634408602156	0.8815524193548387	8
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0032940	secretion by cell	secretion by cell	G1/S transition of mitotic cell cycle	0.0	3	3	10	0.31787634408602156	0.31787634408602156	0.8815524193548387	9
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0001822	kidney development	kidney development	angiogenesis	0.0	3	3	3	0.31787634408602156	0.31787634408602156	0.8815524193548387	10
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:1901653	cellular response to peptide	cellular response to peptide	response to salt	0.0	3	3	17	0.31787634408602156	0.31787634408602156	0.8815524193548387	11
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0001701	in utero embryonic development	in utero embryonic development	nervous system development	0.0	3	3	6	0.31787634408602156	0.31787634408602156	0.8815524193548387	12
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0045893	positive regulation of DNA-templated transcription	positive regulation of DNA-templated transcription	regulation of transcription by RNA polymerase II	50.0	5	6	20	0.38385401261401764	0.38385401261401764	0.8815524193548387	13
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0045056	transcytosis	transcytosis	vesicle-mediated transport	1.0	2	2	3	0.46924603174603163	0.46924603174603163	0.8815524193548387	14
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0008015	blood circulation	blood circulation	sensory perception of sound	0.0	2	2	6	0.46924603174603163	0.46924603174603163	0.8815524193548387	15
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	positive regulation of extrinsic apoptotic signaling pathway	positive regulation of apoptotic process	0.0	2	2	3	0.46924603174603163	0.46924603174603163	0.8815524193548387	16
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0001510	RNA methylation	RNA methylation	protein ubiquitination	21.0	2	2	2	0.46924603174603163	0.46924603174603163	0.8815524193548387	17
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0032259	methylation	methylation	protein ubiquitination	101.0	2	2	2	0.46924603174603163	0.46924603174603163	0.8815524193548387	18
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0010001	glial cell differentiation	glial cell differentiation	cell differentiation	0.0	2	2	2	0.46924603174603163	0.46924603174603163	0.8815524193548387	19
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0009100	glycoprotein metabolic process	glycoprotein metabolic process	proteasome-mediated ubiquitin-dependent protein catabolic process	4.0	2	2	2	0.46924603174603163	0.46924603174603163	0.8815524193548387	20
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0007605	sensory perception of sound	sensory perception of sound	sensory perception of sound	3.0	2	2	2	0.46924603174603163	0.46924603174603163	0.8815524193548387	21
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0006909	phagocytosis	phagocytosis	vesicle-mediated transport	10.0	2	2	8	0.46924603174603163	0.46924603174603163	0.8815524193548387	22
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0008283	cell population proliferation	cell population proliferation	chemical synaptic transmission	1.0	2	2	5	0.46924603174603163	0.46924603174603163	0.8815524193548387	23
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0019882	antigen processing and presentation	antigen processing and presentation	chemical synaptic transmission	0.0	2	2	7	0.46924603174603163	0.46924603174603163	0.8815524193548387	24
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0001505	regulation of neurotransmitter levels	regulation of neurotransmitter levels	regulation of cell shape	2.0	2	2	5	0.46924603174603163	0.46924603174603163	0.8815524193548387	25
CONTRAST_C:+logFC	24 hpf	pH 8.0	Intergenic	GO:0006099	tricarboxylic acid cycle	tricarboxylic acid cycle	tricarboxylic acid cycle	43.0	2	2	4	0.46924603174603163	0.46924603174603163	0.8815524193548387	26
