gene_id	GOs
LOC124112581	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005575,GO:0005623,GO:0005886,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016020,GO:0016787,GO:0017171,GO:0019538,GO:0032879,GO:0043170,GO:0044238,GO:0044464,GO:0048519,GO:0050789,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0065007,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564
LOC124112668	GO:0005575,GO:0005622,GO:0005623,GO:0005815,GO:0005856,GO:0005886,GO:0015630,GO:0016020,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0071944
LOC124113148	GO:0000151,GO:0000209,GO:0001501,GO:0001959,GO:0002009,GO:0002253,GO:0002376,GO:0002429,GO:0002682,GO:0002684,GO:0002757,GO:0002764,GO:0002768,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0004842,GO:0005080,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007249,GO:0007275,GO:0007423,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009653,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010468,GO:0010498,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010803,GO:0010939,GO:0010941,GO:0010942,GO:0016567,GO:0016740,GO:0019219,GO:0019222,GO:0019538,GO:0019787,GO:0019899,GO:0019900,GO:0019901,GO:0019941,GO:0023051,GO:0023052,GO:0023056,GO:0030163,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032088,GO:0032182,GO:0032446,GO:0032501,GO:0032502,GO:0032991,GO:0035239,GO:0035295,GO:0035556,GO:0036211,GO:0042471,GO:0042472,GO:0042981,GO:0043009,GO:0043065,GO:0043067,GO:0043068,GO:0043069,GO:0043122,GO:0043123,GO:0043130,GO:0043161,GO:0043170,GO:0043412,GO:0043433,GO:0043583,GO:0043632,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048562,GO:0048568,GO:0048583,GO:0048584,GO:0048598,GO:0048701,GO:0048704,GO:0048705,GO:0048706,GO:0048729,GO:0048731,GO:0048839,GO:0048856,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050851,GO:0050852,GO:0050896,GO:0051090,GO:0051091,GO:0051092,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051603,GO:0051716,GO:0060255,GO:0060429,GO:0060544,GO:0060546,GO:0060547,GO:0060548,GO:0060562,GO:0060759,GO:0065007,GO:0065009,GO:0070647,GO:0071599,GO:0071600,GO:0071704,GO:0071797,GO:0080090,GO:0090596,GO:0097039,GO:0097159,GO:0140096,GO:1901222,GO:1901224,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1902531,GO:1902533,GO:1902680,GO:1903506,GO:1903508,GO:1904888,GO:1990234,GO:2000112,GO:2001141,GO:2001233,GO:2001235,GO:2001236,GO:2001238
LOC124113677	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005778,GO:0016020,GO:0031090,GO:0031903,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0098588,GO:0098805
LOC124116345	GO:0000375,GO:0000377,GO:0000398,GO:0001932,GO:0001934,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004693,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005815,GO:0005856,GO:0005929,GO:0006139,GO:0006396,GO:0006397,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0007089,GO:0007346,GO:0008150,GO:0008152,GO:0008285,GO:0008380,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010467,GO:0010562,GO:0010564,GO:0010604,GO:0010639,GO:0010646,GO:0010647,GO:0015630,GO:0016070,GO:0016071,GO:0016301,GO:0016310,GO:0016592,GO:0016740,GO:0016772,GO:0016773,GO:0018107,GO:0018193,GO:0018210,GO:0019220,GO:0019222,GO:0019538,GO:0023051,GO:0023056,GO:0031323,GO:0031325,GO:0031344,GO:0031345,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0032268,GO:0032270,GO:0032956,GO:0032970,GO:0032991,GO:0033043,GO:0034641,GO:0036064,GO:0036211,GO:0042127,GO:0042325,GO:0042327,GO:0042995,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043408,GO:0043410,GO:0043412,GO:0044087,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044441,GO:0044446,GO:0044451,GO:0044463,GO:0044464,GO:0045787,GO:0045931,GO:0045937,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051246,GO:0051247,GO:0051493,GO:0051726,GO:0060255,GO:0060491,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090068,GO:0090304,GO:0097472,GO:0120025,GO:0120032,GO:0120033,GO:0120035,GO:0120038,GO:0140096,GO:1900087,GO:1901360,GO:1901564,GO:1901987,GO:1901989,GO:1901990,GO:1901992,GO:1902017,GO:1902018,GO:1902115,GO:1902116,GO:1902531,GO:1902533,GO:1902806,GO:1902808,GO:2000045
LOC124116550	GO:0000003,GO:0001667,GO:0001817,GO:0001819,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0005096,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005802,GO:0006810,GO:0006928,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007417,GO:0007420,GO:0008047,GO:0008150,GO:0009790,GO:0009888,GO:0009987,GO:0010631,GO:0012505,GO:0016043,GO:0016192,GO:0016197,GO:0016477,GO:0016482,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0030030,GO:0030154,GO:0030182,GO:0030234,GO:0030695,GO:0030707,GO:0030855,GO:0031175,GO:0031347,GO:0031984,GO:0032101,GO:0032501,GO:0032502,GO:0032504,GO:0032675,GO:0032680,GO:0032755,GO:0040011,GO:0042147,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043547,GO:0044093,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0046907,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048568,GO:0048583,GO:0048609,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050727,GO:0050789,GO:0050790,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051336,GO:0051345,GO:0051641,GO:0051649,GO:0051674,GO:0051704,GO:0060322,GO:0060429,GO:0060589,GO:0065007,GO:0065009,GO:0071840,GO:0080134,GO:0090130,GO:0090132,GO:0098772,GO:0098791,GO:0120036,GO:1903555,GO:1990403
LOC124116891	GO:0000154,GO:0000313,GO:0000315,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0015934,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0031974,GO:0032259,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:0098798,GO:0140098,GO:0140102,GO:1901360,GO:1990904
LOC124117048	GO:0000151,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0031461,GO:0031463,GO:0032991,GO:0044424,GO:0044444,GO:0044464,GO:1902494,GO:1990234
LOC124117109	GO:0000408,GO:0002949,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360
LOC124119457	GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016787,GO:0016798,GO:0016998,GO:0042742,GO:0043170,GO:0043207,GO:0044036,GO:0044237,GO:0044248,GO:0044260,GO:0044421,GO:0050829,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0061783,GO:0071554,GO:0071704,GO:0098542
