date	Stage	hpf	name	Sampling_time	Salinity	t(oC)	P (dbars)	t(oC)	P (dbars)	TA (umol/kgSW)	TCO2 (umol/kgSW)
4/2/22	E	10	pH 7.6	23:00	33.1	21	0	16	0	1908	1741
4/2/22	E	10	pH 7.8	23:00	33.1	21	0	16	0	2205	1885
4/2/22	E	10	pH 8	23:00	33.3	21	0	16	0	2213	2059
5/2/22	L	24	pH 7.6	16:43	33.4	21	0	16	0	1874	1717
5/2/22	L	24	pH 7.8	17:00	32.9	21	0	16	0	2105	2001
5/2/22	L	24	pH 8	17:45	32.9	21	0	16	0	2204	2074
7/2/22	L	60	pH 7.6	17:00	33.3	21	0	16	0	2021	2003
7/2/22	L	60	pH 7.8	17:20	33.1	21	0	16	0	2107	2115
7/2/22	L	60	pH 8	17:20	33.1	21	0	16	0	2110	1994
9/2/22	L	110	pH 7.6	11:25	33.3	21	0	16	0	2024	2020
9/2/22	L	110	pH 7.8	11:25	33.1	21	0	16	0	2124	2087
9/2/22	L	110	pH 8	11:25	33.3	21	0	16	0	2114	2020
17/02/2022	P	110	pH 7.6	11:30	33.3	21	0	16	0	2222	2178
17/02/2022	P	110	pH 7.8	11:30	33.4	21	0	16	0	2249	2156
17/02/2022	P	110	pH 8	11:30	33.3	21	0	16	0	2242	2077
