ID,date,Stage,hpf,name,Sampling_time,DIC,TA,Sal,pH_Predicted,Ara,CO3
10-7.6-E,02/04/2022,Embryo,10,Experimental I,12:00,1741,1908,33.1,7.99,1.9,120
10-7.8-E,02/04/2022,Embryo,10,Experimental II,12:00,1885,2205,33.1,8.252,3.57,222.4
10-8-E,02/04/2022,Embryo,10,Control,12:00,2059,2213,33.3,7.918,1.92,118.2
24-7.6-L,02/05/2022,Larvae,24,Experimental I,16:43,1717,1874,33.4,7.965,1.78,106.2
24-7.8-L,02/05/2022,Larvae,24,Experimental II,17:00,2001,2105,32.9,7.802,1.44,89.3
24-8-L,02/05/2022,Larvae,24,Control,17:45,2074,2204,32.9,7.864,1.71,111.2
60-7.6-L,02/07/2022,Larvae,60,Experimental I,17:00,2003,2021,33.3,7.528,0.78,95.8
60-7.8-L,02/07/2022,Larvae,60,Experimental II,17:20,2115,2107,33.1,7.446,0.67,42
60-8-L,02/07/2022,Larvae,60,Control,17:20,1994,2110,33.1,7.833,1.54,48.4
108-7.6-L,02/09/2022,Larvae,108,Experimental I,11:25,2020,2024,33.3,7.48,0.7,84.3
108-7.8-L,02/09/2022,Larvae,108,Experimental II,11:25,2087,2124,33.1,7.593,0.94,58.3
108-8-L,02/09/2022,Larvae,108,Control,11:25,2020,2114,33.3,7.767,1.35,43.8
110-7.6-P,02/17/2022,Pos,110,Experimental I,11:30,2178,2222,33.3,7.611,1.02,127.3
110-7.8-P,02/17/2022,Pos,110,Experimental II,11:30,2156,2249,33.4,7.754,1.4,87.5
110-8-P,02/17/2022,Pos,110,Control,11:30,2077,2242,33.3,7.941,2.04,63.8
